image,gt_label,pred_label,confidence
datasets\weather\val\clear\b2dbb793-9f0b2bec.jpg,clear,rainy,0.6479839086532593
datasets\weather\val\clear\b2dc7ea5-4a031fdd.jpg,clear,clear,0.47598233819007874
datasets\weather\val\clear\b2dde0d9-1303a9ef.jpg,clear,clear,0.8107867240905762
datasets\weather\val\clear\b2e2b2be-4142962b.jpg,clear,rainy,0.4890928864479065
datasets\weather\val\clear\b2e2f4ed-6ba045d0.jpg,clear,clear,0.5743501782417297
datasets\weather\val\clear\b2e431b6-332c438d.jpg,clear,overcast,0.6369052529335022
datasets\weather\val\clear\b2e54795-0dc285dd.jpg,clear,overcast,0.4582710266113281
datasets\weather\val\clear\b2e54795-601d2d78.jpg,clear,snowy,0.33267563581466675
datasets\weather\val\clear\b2e54795-d8c2ba6d.jpg,clear,overcast,0.4493926763534546
datasets\weather\val\clear\b2e63097-51c16783.jpg,clear,rainy,0.607125997543335
datasets\weather\val\clear\b2ec68ce-d345784e.jpg,clear,rainy,0.5655233263969421
datasets\weather\val\clear\b2eed8fa-2694b15d.jpg,clear,clear,0.6278795599937439
datasets\weather\val\clear\b2eed8fa-cf59a253.jpg,clear,clear,0.537523627281189
datasets\weather\val\clear\b2efc911-2ad925b4.jpg,clear,rainy,0.49048975110054016
datasets\weather\val\clear\b2f4a409-36a7d7c9.jpg,clear,clear,0.4561188817024231
datasets\weather\val\clear\b2f4a409-5adcc4f0.jpg,clear,clear,0.6899242401123047
datasets\weather\val\clear\b2f4a409-5ddff11a.jpg,clear,overcast,0.3308538794517517
datasets\weather\val\clear\b2f4a409-80dacf25.jpg,clear,overcast,0.5842864513397217
datasets\weather\val\clear\b2f68bad-aa8f35d1.jpg,clear,clear,0.34178948402404785
datasets\weather\val\clear\b2f9cc9e-809f5cae.jpg,clear,snowy,0.41054007411003113
datasets\weather\val\clear\b2fbf86d-d5de82a4.jpg,clear,overcast,0.5365123152732849
datasets\weather\val\clear\b2fc7cb5-1635d64b.jpg,clear,clear,0.4004735052585602
datasets\weather\val\clear\b2fe5d69-f31d4c9b.jpg,clear,clear,0.6644648909568787
datasets\weather\val\clear\b2ff6aba-fa4ac7d7.jpg,clear,rainy,0.4061209261417389
datasets\weather\val\clear\b3a087a4-9d116610.jpg,clear,clear,0.5215497612953186
datasets\weather\val\clear\b3a102ed-6ef54f5e.jpg,clear,rainy,0.4170643091201782
datasets\weather\val\clear\b3a1e72b-f46924ca.jpg,clear,clear,0.48941144347190857
datasets\weather\val\clear\b3a1e72b-f9a8ed50.jpg,clear,rainy,0.476285845041275
datasets\weather\val\clear\b3a238e3-de6b8b86.jpg,clear,snowy,0.9275417923927307
datasets\weather\val\clear\b3a238e3-ede6d45d.jpg,clear,overcast,0.386210560798645
datasets\weather\val\clear\b3a3d166-3a6a258d.jpg,clear,clear,0.3658589720726013
datasets\weather\val\clear\b3a4cbbb-73f71148.jpg,clear,clear,0.5801048278808594
datasets\weather\val\clear\b3a4cbbb-b67444d7.jpg,clear,clear,0.4948689639568329
datasets\weather\val\clear\b3a6f586-23d13c49.jpg,clear,rainy,0.3887426555156708
datasets\weather\val\clear\b3a9281a-74ae5b60.jpg,clear,rainy,0.40273377299308777
datasets\weather\val\clear\b3a9281a-75473a1b.jpg,clear,clear,0.5275670289993286
datasets\weather\val\clear\b3a9281a-8b4f26f1.jpg,clear,snowy,0.4321780502796173
datasets\weather\val\clear\b3a9281a-e8ba5d66.jpg,clear,clear,0.4524853527545929
datasets\weather\val\clear\b3acb0a1-f459ea19.jpg,clear,clear,0.6086329817771912
datasets\weather\val\clear\b3ae7668-c78f47c8.jpg,clear,overcast,0.6122474670410156
datasets\weather\val\clear\b3b06694-627742e3.jpg,clear,clear,0.5861964821815491
datasets\weather\val\clear\b3b44b49-3af119e3.jpg,clear,snowy,0.32283854484558105
datasets\weather\val\clear\b3b44b49-7336e3ee.jpg,clear,overcast,0.45040231943130493
datasets\weather\val\clear\b3b4c0fe-2683b31e.jpg,clear,overcast,0.35197991132736206
datasets\weather\val\clear\b3b9ee6e-6d2617d1.jpg,clear,clear,0.47705426812171936
datasets\weather\val\clear\b3bbc110-3ef16a61.jpg,clear,clear,0.6988327503204346
datasets\weather\val\clear\b3be4113-1fb56ec4.jpg,clear,snowy,0.3603017032146454
datasets\weather\val\clear\b3be4113-a7c6d89b.jpg,clear,rainy,0.3155401945114136
datasets\weather\val\clear\b3c0357a-10fef986.jpg,clear,snowy,0.3456154465675354
datasets\weather\val\clear\b3c0460d-33d7256d.jpg,clear,overcast,0.5235370397567749
datasets\weather\val\clear\b3c26aff-417063a0.jpg,clear,overcast,0.43437016010284424
datasets\weather\val\clear\b3c26aff-63a0d7d6.jpg,clear,overcast,0.4154452383518219
datasets\weather\val\clear\b3c2f984-a6fb75a4.jpg,clear,rainy,0.5976794362068176
datasets\weather\val\clear\b3c4e98b-0c191966.jpg,clear,clear,0.7882726788520813
datasets\weather\val\clear\b3c4e98b-2788a3e8.jpg,clear,clear,0.5268754363059998
datasets\weather\val\clear\b3c4e98b-8469f497.jpg,clear,clear,0.5967611074447632
datasets\weather\val\clear\b3c4e98b-da58e181.jpg,clear,clear,0.6123014092445374
datasets\weather\val\clear\b3c672a8-b7b886ae.jpg,clear,rainy,0.4271552562713623
datasets\weather\val\clear\b3c939e3-370d8f4a.jpg,clear,clear,0.6103845834732056
datasets\weather\val\clear\b3c939e3-3fb7622a.jpg,clear,overcast,0.457134872674942
datasets\weather\val\clear\b3cc736f-03134262.jpg,clear,clear,0.7325658202171326
datasets\weather\val\clear\b3cc736f-7a7794c0.jpg,clear,rainy,0.4557821750640869
datasets\weather\val\clear\b3cd4bfe-93377084.jpg,clear,rainy,0.4673042297363281
datasets\weather\val\clear\b3ce9f98-2dc52573.jpg,clear,clear,0.7220577001571655
datasets\weather\val\clear\b3ce9f98-97451163.jpg,clear,clear,0.408486008644104
datasets\weather\val\clear\b3d46fca-a69e8189.jpg,clear,clear,0.48993104696273804
datasets\weather\val\clear\b3d46fca-a8bd9b5c.jpg,clear,clear,0.5896894931793213
datasets\weather\val\clear\b3d46fca-dbf2af72.jpg,clear,rainy,0.535122275352478
datasets\weather\val\clear\b3d54db3-9ac260a3.jpg,clear,clear,0.5831425786018372
datasets\weather\val\clear\b3da33d5-a64e7657.jpg,clear,overcast,0.545147180557251
datasets\weather\val\clear\b3dc64cd-37f9c22d.jpg,clear,rainy,0.681852400302887
datasets\weather\val\clear\b3e0345b-20d013f8.jpg,clear,clear,0.41911929845809937
datasets\weather\val\clear\b3e0345b-ae566cbd.jpg,clear,clear,0.5959137678146362
datasets\weather\val\clear\b3e08585-5cf240fb.jpg,clear,rainy,0.46104568243026733
datasets\weather\val\clear\b3e137e5-fe7ef981.jpg,clear,clear,0.47723549604415894
datasets\weather\val\clear\b3e70fdd-e1df8660.jpg,clear,rainy,0.5287147760391235
datasets\weather\val\clear\b3e72283-595c3576.jpg,clear,clear,0.35997089743614197
datasets\weather\val\clear\b3e72283-d1f9593d.jpg,clear,clear,0.5334174633026123
datasets\weather\val\clear\b3e74777-122e3878.jpg,clear,rainy,0.7408633232116699
datasets\weather\val\clear\b3e7bfdb-0ce50151.jpg,clear,rainy,0.3831962049007416
datasets\weather\val\clear\b3ea5e17-c67b7a7a.jpg,clear,clear,0.4272054135799408
datasets\weather\val\clear\b3ea802a-c689de9a.jpg,clear,overcast,0.6538633108139038
datasets\weather\val\clear\b3ec8e38-41c64395.jpg,clear,clear,0.5158509612083435
datasets\weather\val\clear\b3ee5ba2-6cc0565d.jpg,clear,overcast,0.3231186866760254
datasets\weather\val\clear\b3eede0e-f4585509.jpg,clear,clear,0.5142562389373779
datasets\weather\val\clear\b3f0cdab-6712e58f.jpg,clear,snowy,0.47839629650115967
datasets\weather\val\clear\b3f0cdab-d5954c9a.jpg,clear,clear,0.4290149509906769
datasets\weather\val\clear\b3f17367-d730de0b.jpg,clear,clear,0.42849522829055786
datasets\weather\val\clear\b3f2fee7-1482dee6.jpg,clear,rainy,0.35205212235450745
datasets\weather\val\clear\b3f3c908-0ab1d376.jpg,clear,clear,0.3582453429698944
datasets\weather\val\clear\b3f3c908-baffb699.jpg,clear,overcast,0.439357191324234
datasets\weather\val\clear\b3f603f2-4a80d188.jpg,clear,clear,0.77949458360672
datasets\weather\val\clear\b3f7c502-d89499e0.jpg,clear,clear,0.4422151446342468
datasets\weather\val\clear\b3fbc6ad-4ee78a0d.jpg,clear,clear,0.6176418662071228
datasets\weather\val\clear\b3fbc6ad-746053d9.jpg,clear,rainy,0.3725872337818146
datasets\weather\val\clear\b4a23106-f7270c1c.jpg,clear,clear,0.4648733139038086
datasets\weather\val\clear\b4a240e1-6e3cd8b8.jpg,clear,clear,0.4136735796928406
datasets\weather\val\clear\b4a2565f-3fc0ab61.jpg,clear,overcast,0.4285428524017334
datasets\weather\val\clear\b4a2cbc5-fc978a94.jpg,clear,rainy,0.7109373807907104
datasets\weather\val\clear\b4a4d2a8-450f54f5.jpg,clear,rainy,0.6260098218917847
datasets\weather\val\clear\b4a63a7e-429587ed.jpg,clear,overcast,0.37376606464385986
datasets\weather\val\clear\b4a8e0fd-7ca55075.jpg,clear,clear,0.5465932488441467
datasets\weather\val\clear\b4a8ec73-1c6196a0.jpg,clear,clear,0.3696294128894806
datasets\weather\val\clear\b4a8ec73-22166ba3.jpg,clear,clear,0.4427458345890045
datasets\weather\val\clear\b4a8ec73-4a6c61c7.jpg,clear,snowy,0.5857598781585693
datasets\weather\val\clear\b4a8ec73-70456cee.jpg,clear,snowy,0.4522918462753296
datasets\weather\val\clear\b4a8ec73-7e0ae9b4.jpg,clear,overcast,0.4496993124485016
datasets\weather\val\clear\b4a8ec73-893c4da4.jpg,clear,snowy,0.7035932540893555
datasets\weather\val\clear\b4a99fcc-cc3d571d.jpg,clear,overcast,0.44376635551452637
datasets\weather\val\clear\b4a9b6ca-010d823b.jpg,clear,clear,0.5056005120277405
datasets\weather\val\clear\b4a9b6ca-b621ed11.jpg,clear,clear,0.3802879750728607
datasets\weather\val\clear\b4aa2f44-023fb7df.jpg,clear,overcast,0.45731911063194275
datasets\weather\val\clear\b4aa2f44-0c91b13d.jpg,clear,overcast,0.4616069793701172
datasets\weather\val\clear\b4ad4365-c1607665.jpg,clear,clear,0.5339577198028564
datasets\weather\val\clear\b4b07c88-3e6d65a0.jpg,clear,overcast,0.29984983801841736
datasets\weather\val\clear\b4b07c88-e71768f1.jpg,clear,snowy,0.47360333800315857
datasets\weather\val\clear\b4b083a0-820bc2c4.jpg,clear,rainy,0.5428962111473083
datasets\weather\val\clear\b4b09f5b-11633a17.jpg,clear,clear,0.6897657513618469
datasets\weather\val\clear\b4b09f5b-c3870eca.jpg,clear,rainy,0.42695358395576477
datasets\weather\val\clear\b4b15ff2-16c70581.jpg,clear,overcast,0.5345399975776672
datasets\weather\val\clear\b4b1aa64-e3cbad0f.jpg,clear,snowy,0.5098739266395569
datasets\weather\val\clear\b4b2f8e1-75b238e1.jpg,clear,rainy,0.6787101030349731
datasets\weather\val\clear\b4b2f8e1-99a5df57.jpg,clear,rainy,0.5094994306564331
datasets\weather\val\clear\b4b394c2-148397ab.jpg,clear,snowy,0.4292813837528229
datasets\weather\val\clear\b4b394c2-e2f83664.jpg,clear,rainy,0.4461822509765625
datasets\weather\val\clear\b4b4b979-a64f258c.jpg,clear,snowy,0.47720906138420105
datasets\weather\val\clear\b4b581ea-93722c60.jpg,clear,overcast,0.5976997017860413
datasets\weather\val\clear\b4b6fd78-b1f488c2.jpg,clear,rainy,0.38044968247413635
datasets\weather\val\clear\b4b6fd78-e96e5ab8.jpg,clear,clear,0.5351181030273438
datasets\weather\val\clear\b4b99a3e-21dfc344.jpg,clear,rainy,0.47733598947525024
datasets\weather\val\clear\b4b99a3e-76e632f3.jpg,clear,rainy,0.5938376784324646
datasets\weather\val\clear\b4b99a3e-e90cbb5a.jpg,clear,rainy,0.49918511509895325
datasets\weather\val\clear\b4b9c39d-6409d1fd.jpg,clear,rainy,0.5652670860290527
datasets\weather\val\clear\b4ba0552-53249a02.jpg,clear,rainy,0.7051078677177429
datasets\weather\val\clear\b4be0173-249b5f2f.jpg,clear,rainy,0.62850022315979
datasets\weather\val\clear\b4c0a877-66fc6239.jpg,clear,clear,0.4831060469150543
datasets\weather\val\clear\b4c0a877-dff9f7bb.jpg,clear,rainy,0.5854831337928772
datasets\weather\val\clear\b4c195ae-4dfb18d9.jpg,clear,overcast,0.4768016040325165
datasets\weather\val\clear\b4c29ddd-808b41d7.jpg,clear,clear,0.677079439163208
datasets\weather\val\clear\b4c29ddd-b9e5cb5e.jpg,clear,rainy,0.6962764859199524
datasets\weather\val\clear\b4c62929-8d5e3448.jpg,clear,overcast,0.4566158652305603
datasets\weather\val\clear\b4c86653-08648e05.jpg,clear,clear,0.5453914999961853
datasets\weather\val\clear\b4c86653-3594c3a4.jpg,clear,clear,0.4469645917415619
datasets\weather\val\clear\b4c86653-580097b3.jpg,clear,clear,0.8228915929794312
datasets\weather\val\clear\b4c86653-a1c9c48e.jpg,clear,clear,0.35948342084884644
datasets\weather\val\clear\b4c86653-a5abaf4e.jpg,clear,clear,0.6576375961303711
datasets\weather\val\clear\b4c86653-aafa1676.jpg,clear,clear,0.8654695153236389
datasets\weather\val\clear\b4ca8154-1d0ea164.jpg,clear,clear,0.32847511768341064
datasets\weather\val\clear\b4ca8154-fd2ddd24.jpg,clear,clear,0.5910753607749939
datasets\weather\val\clear\b4d18d1a-030f0601.jpg,clear,clear,0.46815168857574463
datasets\weather\val\clear\b4d18d1a-e9faf80a.jpg,clear,clear,0.6719789505004883
datasets\weather\val\clear\b4d18d1a-fca70785.jpg,clear,clear,0.4916139841079712
datasets\weather\val\clear\b4d2dede-0f9169f5.jpg,clear,rainy,0.7298839688301086
datasets\weather\val\clear\b4d2dede-18dc0cd0.jpg,clear,rainy,0.6243716478347778
datasets\weather\val\clear\b4d65110-23299ece.jpg,clear,overcast,0.343313992023468
datasets\weather\val\clear\b4d65110-ac665389.jpg,clear,clear,0.5959556102752686
datasets\weather\val\clear\b4d72ad8-ae73962e.jpg,clear,clear,0.46230238676071167
datasets\weather\val\clear\b4d73ce8-d5b360f5.jpg,clear,rainy,0.4572024941444397
datasets\weather\val\clear\b4d9b889-6662ff4a.jpg,clear,rainy,0.6093646883964539
datasets\weather\val\clear\b4dd1c23-355940ff.jpg,clear,rainy,0.36158591508865356
datasets\weather\val\clear\b4e3816e-2319f39e.jpg,clear,rainy,0.49608612060546875
datasets\weather\val\clear\b4e3816e-6cd8a1fe.jpg,clear,clear,0.5332459211349487
datasets\weather\val\clear\b4e3e68f-3aa63f29.jpg,clear,overcast,0.41505399346351624
datasets\weather\val\clear\b4e58e8f-dff21e6a.jpg,clear,clear,0.4799058437347412
datasets\weather\val\clear\b4e86b41-b15ff7cb.jpg,clear,rainy,0.44296178221702576
datasets\weather\val\clear\b4eac100-0eaffca3.jpg,clear,rainy,0.46800732612609863
datasets\weather\val\clear\b4eb79bd-288f1507.jpg,clear,rainy,0.4336070120334625
datasets\weather\val\clear\b4eb79bd-6ab32eb7.jpg,clear,clear,0.5819021463394165
datasets\weather\val\clear\b4ec8b36-e81e510a.jpg,clear,overcast,0.3816494643688202
datasets\weather\val\clear\b4ecb933-08326feb.jpg,clear,rainy,0.5585038065910339
datasets\weather\val\clear\b4ed5563-12753b3c.jpg,clear,rainy,0.5982869863510132
datasets\weather\val\clear\b4ed5563-e22cb18a.jpg,clear,clear,0.54505854845047
datasets\weather\val\clear\b4ee5320-cb16ec42.jpg,clear,clear,0.5133902430534363
datasets\weather\val\clear\b4ef573f-199846ab.jpg,clear,clear,0.5298449993133545
datasets\weather\val\clear\b4ef573f-5122732a.jpg,clear,snowy,0.4315902292728424
datasets\weather\val\clear\b4ef573f-8a8e0ea3.jpg,clear,snowy,0.5134686231613159
datasets\weather\val\clear\b4ef573f-c11cbaee.jpg,clear,clear,0.34783440828323364
datasets\weather\val\clear\b4f2a76c-3ce3d91e.jpg,clear,clear,0.6957713961601257
datasets\weather\val\clear\b4f2a76c-6b0c22e6.jpg,clear,overcast,0.49281811714172363
datasets\weather\val\clear\b4f360ca-78e0a64c.jpg,clear,clear,0.5008887052536011
datasets\weather\val\clear\b4f49565-abd6b20b.jpg,clear,snowy,0.42439162731170654
datasets\weather\val\clear\b4f4bd95-70f45b0f.jpg,clear,clear,0.6477055549621582
datasets\weather\val\clear\b4f4bd95-a097514a.jpg,clear,clear,0.5713960528373718
datasets\weather\val\clear\b4f59eb4-2992dd6d.jpg,clear,clear,0.7303555011749268
datasets\weather\val\clear\b4f65b32-ff644e07.jpg,clear,clear,0.6244184970855713
datasets\weather\val\clear\b4f85748-94942db6.jpg,clear,clear,0.7541052103042603
datasets\weather\val\clear\b4f85748-c4be0117.jpg,clear,rainy,0.6508125066757202
datasets\weather\val\clear\b4f9084d-207afc6e.jpg,clear,clear,0.7031981945037842
datasets\weather\val\clear\b4f9084d-22f60127.jpg,clear,clear,0.7440232038497925
datasets\weather\val\clear\b4f9084d-7cc2f042.jpg,clear,rainy,0.5158945322036743
datasets\weather\val\clear\b4f9084d-86d982ab.jpg,clear,clear,0.5787332057952881
datasets\weather\val\clear\b4fb7979-16f87335.jpg,clear,rainy,0.370402455329895
datasets\weather\val\clear\b4fca1a4-f7e84f0b.jpg,clear,rainy,0.3450221121311188
datasets\weather\val\clear\b4fce2f5-d8eee5bb.jpg,clear,rainy,0.3160252273082733
datasets\weather\val\clear\b4fcf852-0d288dba.jpg,clear,clear,0.35783180594444275
datasets\weather\val\clear\b4fe8907-23618458.jpg,clear,snowy,0.6138148903846741
datasets\weather\val\clear\b4ff6bda-27a63ee8.jpg,clear,snowy,0.6485264301300049
datasets\weather\val\clear\b5a09604-13bc9a70.jpg,clear,clear,0.6274688839912415
datasets\weather\val\clear\b5a09604-3178a653.jpg,clear,rainy,0.47164037823677063
datasets\weather\val\clear\b5a09604-34f155de.jpg,clear,clear,0.4198102056980133
datasets\weather\val\clear\b5a09604-44ade539.jpg,clear,rainy,0.7578819394111633
datasets\weather\val\clear\b5a09604-48e9ac41.jpg,clear,rainy,0.6879067420959473
datasets\weather\val\clear\b5a09604-555079c9.jpg,clear,rainy,0.510071873664856
datasets\weather\val\clear\b5a09604-86af51ad.jpg,clear,clear,0.7176648378372192
datasets\weather\val\clear\b5a09604-c93a9d5d.jpg,clear,clear,0.3593796193599701
datasets\weather\val\clear\b5a407d5-c2abd312.jpg,clear,clear,0.47473621368408203
datasets\weather\val\clear\b5a50c2d-0c1d06e0.jpg,clear,rainy,0.4689207673072815
datasets\weather\val\clear\b5a50c2d-113da15f.jpg,clear,clear,0.4049166142940521
datasets\weather\val\clear\b5a50c2d-a18ba669.jpg,clear,snowy,0.5838108658790588
datasets\weather\val\clear\b5a50c2d-ccafe43a.jpg,clear,snowy,0.5122178792953491
datasets\weather\val\clear\b5a52ea9-2e1f4066.jpg,clear,snowy,0.5139517784118652
datasets\weather\val\clear\b5a72f23-5cb9552b.jpg,clear,clear,0.6993836760520935
datasets\weather\val\clear\b5a72f23-72643897.jpg,clear,clear,0.42434558272361755
